priceUsd,time,circulatingSupply,date
39079.2045092426901193,1642759200000,18935862.0000000000000000,2022-01-21T10:00:00.000Z
39053.2642664958734187,1642762800000,18935912.0000000000000000,2022-01-21T11:00:00.000Z
38958.3066399600280594,1642766400000,18935912.0000000000000000,2022-01-21T12:00:00.000Z
38208.2307274724129722,1642770000000,18935987.0000000000000000,2022-01-21T13:00:00.000Z
38559.4985609171950431,1642773600000,18935987.0000000000000000,2022-01-21T14:00:00.000Z
38494.6713613876603285,1642777200000,18936031.0000000000000000,2022-01-21T15:00:00.000Z
38941.2733233164142378,1642780800000,18936031.0000000000000000,2022-01-21T16:00:00.000Z
38794.5606365492057588,1642784400000,18936125.0000000000000000,2022-01-21T17:00:00.000Z
38445.4798751319546618,1642788000000,18936125.0000000000000000,2022-01-21T18:00:00.000Z
38428.8280806044593143,1642791600000,18936193.0000000000000000,2022-01-21T19:00:00.000Z
38173.1641853371878800,1642795200000,18936193.0000000000000000,2022-01-21T20:00:00.000Z
38316.9310007225041922,1642798800000,18936300.0000000000000000,2022-01-21T21:00:00.000Z
36747.5476497711928957,1642802400000,18936300.0000000000000000,2022-01-21T22:00:00.000Z
36170.2746447650531531,1642806000000,18936300.0000000000000000,2022-01-21T23:00:00.000Z
36647.1391262702892267,1642809600000,18936362.0000000000000000,2022-01-22T00:00:00.000Z
36669.8735902874841591,1642813200000,18936362.0000000000000000,2022-01-22T01:00:00.000Z
36583.8009114712930124,1642816800000,18936425.0000000000000000,2022-01-22T02:00:00.000Z
36639.8639839642802216,1642820400000,18936425.0000000000000000,2022-01-22T03:00:00.000Z
36466.4751211312681771,1642824000000,18936487.0000000000000000,2022-01-22T04:00:00.000Z
36430.1114763486224403,1642827600000,18936487.0000000000000000,2022-01-22T05:00:00.000Z
35913.2402206072377652,1642831200000,18936525.0000000000000000,2022-01-22T06:00:00.000Z
35822.5893665761335653,1642834800000,18936525.0000000000000000,2022-01-22T07:00:00.000Z
35569.9015067326026295,1642838400000,18936587.0000000000000000,2022-01-22T08:00:00.000Z
35690.0205074995557678,1642842000000,18936587.0000000000000000,2022-01-22T09:00:00.000Z
35019.8034412446492971,1642845600000,18936675.0000000000000000,2022-01-22T10:00:00.000Z
35511.1150061312338613,1642849200000,18936675.0000000000000000,2022-01-22T11:00:00.000Z
35364.6052989630439762,1642852800000,18936775.0000000000000000,2022-01-22T12:00:00.000Z
35836.6317514812435773,1642856400000,18936775.0000000000000000,2022-01-22T13:00:00.000Z
35800.1473155092108466,1642860000000,18936856.0000000000000000,2022-01-22T14:00:00.000Z
35241.9396766432816924,1642863600000,18936856.0000000000000000,2022-01-22T15:00:00.000Z
35011.7917657657848560,1642867200000,18936918.0000000000000000,2022-01-22T16:00:00.000Z
35194.5108945874532837,1642870800000,18936918.0000000000000000,2022-01-22T17:00:00.000Z
34752.1415876412391648,1642874400000,18936968.0000000000000000,2022-01-22T18:00:00.000Z
34538.2074023279735587,1642878000000,18936968.0000000000000000,2022-01-22T19:00:00.000Z
34668.9334584962897075,1642881600000,18937062.0000000000000000,2022-01-22T20:00:00.000Z
35372.3375913025314643,1642885200000,18937062.0000000000000000,2022-01-22T21:00:00.000Z
35529.8403692639937477,1642888800000,18937100.0000000000000000,2022-01-22T22:00:00.000Z
35044.0785223554797239,1642892400000,18937100.0000000000000000,2022-01-22T23:00:00.000Z
35174.1685919808630164,1642896000000,18937175.0000000000000000,2022-01-23T00:00:00.000Z
35504.1420932367761872,1642899600000,18937175.0000000000000000,2022-01-23T01:00:00.000Z
35434.6305946344478273,1642903200000,18937262.0000000000000000,2022-01-23T02:00:00.000Z
35001.0011841449088579,1642906800000,18937262.0000000000000000,2022-01-23T03:00:00.000Z
35191.4084549034592465,1642910400000,18937362.0000000000000000,2022-01-23T04:00:00.000Z
35343.9630334305884614,1642914000000,18937362.0000000000000000,2022-01-23T05:00:00.000Z
35533.1717889628769344,1642917600000,18937418.0000000000000000,2022-01-23T06:00:00.000Z
35395.6826953903585141,1642921200000,18937418.0000000000000000,2022-01-23T07:00:00.000Z
